Part,Color,Quantity
87994,0,4
23443,0,2
36840,0,2
99780,0,12
2436,0,5
76766,0,2
3005,0,4
6111,0,2
6112,0,1
3004,0,11
3622,0,4
3010,0,3
3009,0,13
3008,0,6
3003,0,5
2357,0,2
3002,0,1
3001,0,8
2456,0,2
14395,0,4
30099,0,2
6091,0,2
3062b,0,2
92947,0,2
4733,0,2
4070,0,36
87087,0,2
2877,0,1
11211,0,3
52107,0,1
30414,0,8
2653,0,14
3942c,0,2
88704,0,2
44301b,0,2
99563,0,9
3024,0,16
4477,0,11
60479,0,6
3023,0,31
3623,0,32
3710,0,50
3666,0,9
3460,0,5
3832,0,1
2445,0,2
91988,0,1
3022,0,7
2420,0,16
3021,0,6
3020,0,21
3795,0,10
3034,0,9
3031,0,8
3032,0,6
3035,0,2
3033,0,1
3028,0,2
3027,0,2
85861,0,2
4032a,0,4
2654,0,6
61252,0,2
4081b,0,2
60897,0,14
48336,0,7
15573,0,2
63868,0,36
60470b,0,5
32028,0,2
60478,0,2
4175,0,2
18677,0,2
4510,0,2
30033,0,5
3176,0,11
4697b,0,1
61409,0,18
60477,0,2
54200,0,11
85984,0,10
4286,0,4
3298,0,1
3297,0,2
3039,0,6
3046a,0,2
3045,0,4
3039pr0002,0,1
3038,0,2
4445,0,5
88930,0,5
24201,0,4
11477,0,8
32803,0,7
15068,0,2
50950,0,2
24309,0,5
11153,0,8
93606,0,5
4287a,0,6
3665,0,6
3676,0,4
3660,0,10
4599b,0,4
3708,0,1
4519,0,4
3705,0,9
32073,0,2
3706,0,2
45590,0,3
32525,0,2
32278,0,2
43857,0,2
32524,0,4
40490,0,3
32140,0,8
60484,0,2
3895,0,4
32018,0,2
3703,0,8
6541,0,1
3700,0,15
32000,0,2
32064a,0,5
3701,0,4
3894,0,15
3702,0,8
32555,0,4
32532,0,3
88323,0,36
2780,0,125
3070bpr0103,0,2
3070b,0,2
3069b,0,4
2431,0,1
6636,0,2
4162,0,4
3068b,0,4
87079,0,8
90498,0,1
98138,0,4
15712,0,12
2412b,0,14
11203,0,5
3680,0,3
44309,0,3
64567,0,6
87620,0,2
24299,0,3
24307,0,3
50305,0,2
50304,0,2
43721,0,1
43720,0,1
3004,1,1
30414,1,4
3666,1,1
2420,1,2
3021,1,2
3020,1,2
3027,1,1
43093,1,26
4274,1,7
6558,1,42
42114,383,1
3004,72,2
3010,72,1
3062b,72,4
4070,72,6
87087,72,2
18922,72,2
3942c,72,2
3024,72,4
3023,72,2
3710,72,2
3666,72,1
3022,72,1
3021,72,3
3020,72,2
3795,72,1
3027,72,1
2654,72,2
48336,72,2
15573,72,2
63868,72,2
60478,72,2
11458,72,6
54200,72,2
11477,72,4
87083,72,2
55013,72,5
32013,72,2
32291,72,4
59443,72,2
60483,72,1
41677,72,10
6541,72,2
32064a,72,1
32002,72,2
15100,72,1
3070b,72,2
63864,72,2
2431,72,1
3068b,72,1
2412b,72,2
3005,320,7
3004,320,3
3010,320,2
3009,320,2
6091,320,8
98282,320,2
3024,320,12
3023,320,3
3623,320,7
3832,320,1
3021,320,6
3795,320,2
15573,320,2
4286,320,1
3297,320,2
3040b,320,8
3039,320,1
4460a,320,4
11477,320,10
15068,320,2
50950,320,12
93273,320,2
11153,320,8
3665,320,1
2449,320,4
3070b,320,2
3069b,320,3
6636,320,2
4162,320,4
87079,320,1
47397,320,1
47398,320,1
2450,320,2
15462,28,1
93555,179,8
24246,179,2
2412b,179,12
99780,2,4
3004,2,1
3010,2,1
3008,2,2
3003,2,2
3001,2,4
2456,2,3
30136,2,2
3024,2,12
3023,2,3
3623,2,2
3710,2,3
3021,2,4
3034,2,4
3031,2,1
32064a,2,1
87994,71,1
63965,71,2
3005,71,2
3004,71,8
3622,71,4
3010,71,2
3001,71,3
92947,71,4
17485,71,4
87087,71,4
22885,71,6
30000,71,3
6249,71,1
44375b,71,3
60849,71,2
3024,71,8
3023,71,8
3710,71,10
3666,71,2
2420,71,4
3020,71,3
3027,71,2
32828,71,2
6141,71,4
10247,71,2
2817,71,1
50950,71,8
3665,71,2
32184,71,2
41678,71,4
92907,71,1
60484,71,4
32526,71,6
32064a,71,6
32324,71,2
32531,71,2
3713,71,7
32123b,71,17
4274,71,6
24246,71,2
3070b,71,2
14719,71,4
98138pr0020,71,2
4032a,7,2
4265b,7,4
2412b,80,24
3002,25,2
3001,25,1
3023,25,1
3710,25,1
3666,25,4
3795,25,1
3035,25,1
30162,297,2
85861,297,8
6141,297,14
3004,4,2
2921,4,6
87087,4,6
60479,4,2
3020,4,1
4032a,4,3
32062,4,4
3894,4,2
6091,70,2
54200,70,8
85984,70,2
11477,70,6
3069b,70,2
30136,19,4
60479,19,1
87552,40,4
87544,40,1
3039,40,4
3069b,40,1
32086,40,1
3941,41,3
54200,182,6
3023,36,5
54200,36,6
98138,36,2
36840,15,2
99781,15,9
99780,15,12
44728,15,8
3005,15,19
6111,15,2
6112,15,2
3004,15,20
3622,15,8
3010,15,14
3009,15,6
3008,15,4
3003,15,4
3002,15,4
3001,15,1
6005,15,2
13731,15,8
6091,15,10
10314,15,6
6081,15,6
42022,15,2
60475b,15,4
4070,15,6
87087,15,6
2458,15,4
11211,15,6
85975,15,2
73983,15,4
62361,15,1
87552,15,2
15207,15,1
3024,15,46
4477,15,4
3023,15,69
3623,15,33
3710,15,37
3666,15,16
3460,15,11
3832,15,4
2445,15,2
4282,15,2
3022,15,8
2420,15,10
3021,15,12
3020,15,11
3795,15,9
3034,15,4
3030,15,1
3031,15,1
3032,15,5
3035,15,2
3033,15,1
3958,15,1
3036,15,1
6141,15,2
4032a,15,4
2654,15,12
48336,15,12
15573,15,20
60470b,15,7
32028,15,6
60478,15,8
60477,15,15
54200,15,7
85984,15,18
4286,15,8
3298,15,1
15672,15,10
3040b,15,12
3039,15,20
3046a,15,2
3037,15,2
4445,15,4
4460a,15,4
88930,15,6
24201,15,6
11477,15,40
29120,15,7
29119,15,7
32803,15,4
15068,15,48
50950,15,56
93604,15,2
93273,15,26
11153,15,4
93606,15,11
52031,15,1
4287a,15,4
3665,15,15
3660,15,4
2449,15,6
60483,15,2
6629,15,4
40490,15,4
32018,15,1
6541,15,24
64394,15,1
64680,15,1
64681,15,1
64393,15,1
24246,15,4
3070b,15,12
3069b,15,35
63864,15,12
2431,15,8
6636,15,12
4162,15,14
14719,15,8
3068b,15,3
26603,15,1
87079,15,11
35787,15,2
98138,15,2
25269,15,2
15712,15,8
35459,15,2
11203,15,2
22385,15,2
87620,15,2
41768,15,2
41767,15,2
41748,15,1
41747,15,1
26601,15,4
24299,15,1
24307,15,1
51739,15,1
43723,15,4
43722,15,4
41770,15,6
41769,15,6
13548,15,2
43721,15,3
43720,15,3
99781,14,4
4732,14,1
6111,14,1
3024,14,12
60479,14,2
3023,14,10
3623,14,6
3710,14,8
3666,14,4
2445,14,1
3022,14,3
3021,14,3
3020,14,7
3795,14,3
3034,14,1
3032,14,2
3035,14,1
32525,14,2
2730,14,2
3700,14,1
3701,14,2
2431pr0017,14,8
2431,14,1
2412b,14,2
54384,14,2
54383,14,2
